id,x,y,radius_px,area_px,circularity,color
0,350,1228,104.0,33979.4661412272,1.0,red
1,832,670,104.0,33979.4661412272,1.0,yellow
3,206,244,104.0,33979.4661412272,1.0,red
4,624,762,104.0,33979.4661412272,1.0,blue
5,140,500,104.0,33979.4661412272,1.0,blue
6,644,492,104.0,33979.4661412272,1.0,green
10,782,1000,103.0,33329.156461934115,1.0,orange
12,426,964,103.0,33329.156461934115,1.0,green
7,142,758,102.0,32685.129967948207,1.0,red
9,462,202,102.0,32685.129967948207,1.0,green
11,752,248,102.0,32685.129967948207,1.0,blue
13,176,1060,102.0,32685.129967948207,1.0,orange
2,406,466,101.0,32047.38665926948,1.0,yellow
8,610,1146,101.0,32047.38665926948,1.0,orange
14,368,734,80.0,20106.192982974677,1.0,yellow
